id,nome,texto,imagem
1,Bangladesh,"<strong>Bangladesh Olympic Association </strong><br />\r\nTel: 880-2-956-0369<br />\r\nFax: 880-2-956-3304 <br />\r\nAddress : National Sports Council Building, 62/3, Purona Paltan, Dhaka-1000, Bangladesh<br />\r\nE-mail : noc-ban@bdonline.com <br />\r\n<br />\r\n<strong>Bangladesh Sport For All Association </strong><br />\r\nTel: 880-2-811-3476<br />\r\nFax: 880-2-811-3476 <br />\r\nAddress: Physical Education College, Satmosjid Road, Muhammadpur, Dhaka-1207, Bangladesh<br />\r\nE-mail: nipa61@yahoo.com ",<blank>
2,Australia,"<strong>Australian Sports Commission</strong><br />\r\nTel: 612-6214-1111<br />\r\nFax: 612-6251-2680<br />\r\nAddress: Leverrier Cres Bruce ACT 2617, Australia<br />\r\nHomepage: www.ausport.gov.au<br />\r\nE-mail: asc@ausport.gov.au<br />\r\n<br />\r\n<br />\r\n<strong>Life Be in.It. Fit'nWell </strong><br />\r\nTel: 613-9696-9595<br />\r\nFax: 613-9696-9191<br />\r\nAddress: P.O.Box 401, Collins St. West Melbourne 8007, Victoria Australia<br />\r\nHomepage: www.fitnwell.org<br />\r\nE-mail: info@fitnwell.org <br />\r\n<br />\r\n<br />\r\n<strong>National Sport Information Center</strong> <br />\r\nTel: 612-6214-1369<br />\r\nFax: 612-6214-1681 <br />\r\nAddress: NSIC P.O.Box 176, Belconnen ACT 2616, Australia<br />\r\nHomepage: www.ausport.gov.au/nsic<br />\r\nE-mail: nsic@ausport.gov.au<br />\r\n",1357492664.jpg
3,Cambodia,"<strong>Ministry of Education, Youth and Sports </strong><br />\r\nTel: 855-23-213-540 | 855-23-210-134<br />\r\nFax: 855-23-213-540 | 855-23-210-134<br />\r\nAddress: #80, Preah Norodom Blvd., Phnom Penh, Cambodia<br />\r\nHomepage: www.moeys.gov.kh<br />\r\nE-mail: 0128959@mobitel.com.kh | info@moeys.gov.kh | webmaster@moeys.gov.kh",1357492722.jpg
4,China,"<strong>All China Sports Federation </strong><br />\r\nTel: 86-10-6712-0624<br />\r\nFax: 86-10-6711-1156 <br />\r\nEmail : acsfchina@yahoo.com.cn<br />\r\nAddress : 5, Tiyuguan Road, Beijing, 100763, China<br />\r\n<br />\r\n<strong>Beijing International Sport Exchange Center </strong><br />\r\nTel: 86-10-6508-5559<br />\r\nFax: 86-10-6508-6696 <br />\r\nAddress: South Building of Worker's Building of Worker's Gymnasium, Beijing 10027, China<br />\r\n<br />\r\n<strong>China Sports Information Institute </strong><br />\r\nTel: 86-10-6711-2233   Fax : 86-10-6711-2028 <br />\r\nE-mail : csiixyz@public.net.cn<br />\r\nAddress : 11 Tiyuguan Road, Beijing 100061, China<br />\r\n<br />\r\n<strong>Chinese Athletic Association </strong><br />\r\nTel: 86-10-8676-1255<br />\r\nFax: 86-10-6714-0801 <br />\r\nAddress: 5 Tiyuguan Road, Beijing 100763, China<br />\r\n<br />\r\n<strong>Chinese Olympic Committee </strong><br />\r\nTel: 86-10-6711-6669<br />\r\nFax: 86-10-6711-5858 <br />\r\nAddress: 9, Tiyuguan Road, Beijing, 100763, China<br />\r\n<br />\r\n<strong>National Research Institute of Sports Science </strong><br />\r\nTel: 86-10-6711-2233<br />\r\nFax: 86-10-6713-6053 <br />\r\nAddress : 11 Tiyuguan Road, Beijing 100061, China<br />\r\n<br />\r\n<strong>Shanghai Institute of Physical Education </strong><br />\r\nTel: 86-21-6556-8643<br />\r\nFax: 86-21-6538-3918 <br />\r\nAddress : 650 Qing Yuan Huan Road, Shanghai 200438, China<br />\r\n<br />\r\n<strong>State Sport General Administration of China </strong><br />\r\nTel: 86-10-6712-0624<br />\r\nFax: 86-10-6711-5858 <br />\r\nAddress: 9, Tiyuguan Road, Beijing, 100763, China",1357489059.jpg
6,"Hong Kong, China","<strong>Hong Kong Sports Institute Limited </strong><br />\r\nTel: 852-2681-6888<br />\r\nFax: 852-2695-4555 <br />\r\nAddress: 25 yuen Wo Road, Sha Tin, New Territories <br />\r\nHomepage: http://www.hksi.org.hk <br />\r\nE-mail: rosalee@hksdb.org.hk <br />\r\n<br />\r\n<strong>Sports Federation &Olympic Committee of Hong Kong </strong><br />\r\nTel: 852-2504-8560<br />\r\nFax: 852-2574-3399 / 852-2891-3657<br />\r\nAddress : 2/F, Olympic House, 1 Stadium Path, So Kon Po, Hong Kong<br />\r\nHomepage: http://www.hkolympic.org <br />\r\nE-mail : secretariat@hkolympic.org<br />\r\n<br />\r\n<strong>Leisure and Cultural Services Department, Hong Kong Special Administrative Region of the People’s Republic of China </strong><br />\r\nTel: 852-2061-8044<br />\r\nFax: 852-2697-4220 <br />\r\nAddress: 3/F Community Sports Section, 1-3 Pai Tau Street, <br />\r\nE-mail: eyyli@lcsd.gov.hk<br />\r\n<br />\r\n<strong>Leisure & Cultural Services Headquarters, Shatin, New Territories, Hong Kong. </strong><br />\r\nHomepage: http://www.lcsd.gov.hk <br />\r\nContact Person: Ms LI Yuet-ying, Elizabeth",<blank>
7,India,"<strong>National Institute of Sports Authority of India </strong><br />\r\nAddress : Nataji Subhas Olympic, Institute of Sports, Motu Bagh Patiala, 147001, India<br />\r\n<br />\r\n<strong>All India Association of Sports for All</strong><br />\r\nTel:  +91 – 9811271868, 011 42427907<br />\r\nAddress : Regd. Office: D-231, Anand Vihar Delhi- 110 092<br />\r\nEmail: info@aiasfa.org",1357487895.jpg
8,Indonesia,"<strong>Indonesia Association of P.E. and Sport </strong><br />\r\nTel: 62-21-573-7492<br />\r\nFax: 62-21-573-2416 <br />\r\nAddress : c/o Koni Pusat Pintu-I, Senayan, Jakarta, Indonesia<br />\r\n<br />\r\n<strong>Komite Olympiade Indonesia </strong><br />\r\nTel: 62-21-573-2206<br />\r\nFax: 62-21-573-2416 <br />\r\nAddress: c/o Koni Pusat Pintu-I, Senayan, Jakarta, Indonesia<br />\r\nHomepage: http://www.olyimpic.or.id<br />\r\n<br />\r\n<br />\r\n<strong>Ministry of Education and Culture </strong><br />\r\nTel: 62-21-572-5506<br />\r\nFax: 62-21-572-5043<br />\r\nAddress: Jin. Jendral Sudirman, Gedung E, Lantai 7, Senayan, Jakarta 10270, Indonesia<br />\r\n<br />\r\n<strong>Asiana Kungfu Dragon & Lion Dance (Dragon Boat) Federation</strong><br />\r\nTel: 62-816-882-730 | 62-21-6385-8611<br />\r\nFax: 62-21-6386-4182<br />\r\nAddress: Secretariate: Jl. KH. Hasyim Ashari No 33 B, Jakarta-Pusat 10130<br />\r\n<br />\r\n<strong>Department of Education and Culture </strong><br />\r\nTel: 91-21-572-5506 <br />\r\nAddress : J1, Jenderal Dudirman, Senayan, Jakarta 10270, Indonesia",1357492630.jpg
9,Iran,"<strong>I.R. Iran Sport For All Federation </strong><br />\r\nTel: 98-21-877-9031<br />\r\nFax: 98-21-879-5625 <br />\r\nAddress : Voli-Asr street, niayesh highway Anghlob Sports<br />\r\nComplex Tehran. I. R. Iran<br />\r\nE-mail: mitrarouhi@gmail.com | info@ifsaf.com<br />\r\n<br />\r\n<strong>National Olympic Committee of Iran </strong><br />\r\nTel: 98-21-877-9236<br />\r\nFax: 98-21-877-7082 <br />\r\nAddress : 44, 12th St. Gandhi Ave. Tehran 15178, I.R.Iran<br />\r\nHomepage:http://www.olympic.ir/home-en.html<br />\r\nE-mail: nociri@neda.net\t\t\t<br />\r\n<br />\r\n<strong>Women Sport For All Association </strong><br />\r\nTel: 98-21-985-2244<br />\r\nFax: 98-21-896-3070 <br />\r\nAddress : P.O.Box 14155-6155, Hejab St. Keshavaz Blvd, Women Sport Deputation, Tehran, I.R.Iran<br />\r\nE-mail: w_sfa@yahoo.com <br />\r\n<br />\r\n<strong>I.R. Iran Federation of Sport Aerobic & Fitness (IFSAF)</strong><br />\r\nTel: 98-21-88975405<br />\r\nFax: 98-21-88972816<br />\r\nAddress: No 37, Hejab Street, Keshavarz Blvd, Tehran, Iran<br />\r\nHomepage: http://www.ifsaf.com/<br />\r\nE-mail: info@ifsaf.com",<blank>
10,Iraq,"<strong>Iraq National Olympic Committee </strong><br />\r\nTel: 964-1-774-8261<br />\r\nFax: 964-1-885-4321 <br />\r\nAddress : P.O.Box 441, Palestine St. IQ-Banhdad, Iraq<br />\r\nHomepage: http://www.iraqiolympic.com<br />\r\nE-mail : info@iraqiolympic.com<br />\r\n",<blank>
11,Israel,"<strong>Israel Sport for All Association (ISFA)</strong><br />\r\nTel: +972-3-5621-441<br />\r\nFax: +972-3-5621-625<br />\r\nAddress: 74 Menahem Begin Road, Tel-Aviv 67215<br />\r\nHomepage: www.isfa.co.il<br />\r\nE-mail: isfa@zahav.net.il<br />\r\n",<blank>
