id,lida,name,text,tipo,photo,date,categoria,prioridade
113,35257,Qatar School Olympic Program to highlight Sports and Investment,"<p>The Qatar Olympic Committee has announced ""Sports and Investment"" as the theme of the School Olympic Program (SOP) for the upcoming academic year 2012-2013.</p><p>\r\nThe strategic partner for the new season will be Enterprise Qatar along with permanent stakeholders, the Supreme Education Council, Qatar School Sport Federation and Qatar Paralympics Committee.</p><p>\r\nThe theme aims to highlight ways of transforming individual interest in sports into highly profitable investment projects for society as a whole. Through sport competitions and community events, the SOP aims to reinforce the links between sport and investment.</p><p>\r\nSOP Executive Director Mr. Mohamed Al Fadhala said: ""We are delighted that we have succeeded year-after-year to encourage children and families to participate in sports and we hope that our 6 th edition theme Sports and Investment will help us uncover more talent and increase investment in both sport projects and human capital"".</p><p>\r\nSOP has celebrated five years of success with an increase of participation by 400% since its inception in 2007-2008.  The program began with 7000 male and female students and has so far reached 20,000 students from 370 schools in nine sport disciplines.</p><p>\r\nSOP is striving to achieving the ambitions of the Qatar National Vision 2030 and the National Development Strategy (NDS) to increase sports participation and promote an active healthy lifestyle in Qatar. Through the NDS, Qatar is advancing its sports policy to educate and engage the public on the importance of healthy and active living. Key to this endeavour is the provision of adequate and accessible sports and recreation facilities.</p><p>\r\n""Another main aim of the NDS is enhancing talent development and athlete sponsorship programs for improved sporting success across the country and this is where SOP has a valuable contribution to make,"" said Mr Fadhala.</p>",1,<blank>,2012-06-08,4,9
97,20373,The 20th TAFISA World Congress,"Argentina, through it’s sport organization AMUDERA, and after several years, welcomes once again the Sport for all spirit and its great ideal. For the first time ever in Latin America, the argentine capital city, Buenos Aires, will be hosting this important event. On behalf of the whole Pan American sports community, we invite you to become a part of this magnificent movement that will most certainly fill you with joy and above all, will introduce a concept of constant activity, that will lead to a healthy life for all world communities. \r\n\r\nAre you wondering when you will have the opportunity to attend this event? The congress will take place in the city of Buenos Aires through September 25th to September 30th 2007, in one of the most prestigious hotels within Buenos Aires Down town. \r\n\r\nThe main theme of the congress will be ""Sport for all and world active cities and communities"". We expect, that throughout this congress, a profound cultural change will take place in every community, and will make them realize the benefits that sports and any kind of physical activity can have on everyday life. As more and more people practice sports, they will be happier, healthy and they will find themselves cooperating and interacting with a large group of individuals with similar goals. This will motivate communication, cultural exchange, relationships and respect, which most community’s lack of. We, organizers, have already experienced, in our own country, all that has been mentioned before and after years of hard work we have achieved Argentina’s involvement in one of TAFISA’s main events. Due to this, the Argentine authorities have once again a special interest in the Sports for All movement and are willing to promote this congress. This is why we offer you this unique opportunity in which you may learn new ways and techniques, on how to bring to your community the possibility of a healthy life throughout sports or physical activities. \r\nThis congress will be an excellent opportunity that you shouldn’t miss allowing you to become a fan of this international movement. \r\nAll this, along with constant feedback and flow of information from TAFISA to the world and from every active city to TAFISA, will create a Sport for all network that will unite regions, cultures like no other ideal has achieved before. \r\n\r\n\r\nOther themes that will be approached during the congress:\r\n\r\n· Sports and music as a way to promote peace and cooperation\r\n· Sport for all as a way of achieving welfare and social inclusion\r\n\r\n\r\nCongress fees\r\n\r\nTAFISA member EURO 850\r\nNon TAFISA member EURO 950\r\nAccompanying person EURO 800\r\n\r\n\r\nThe congress fee covers accommodation in a five star hotel within Buenos Aires city downtown. It also covers the cost of participation in all congress sessions including the opening ceremony, transportation to/from the airport, the congress documentations and writing material, coffee breaks.\r\n\r\nThe fees will be payable by credit card or bank transfer. Payment must be accompanied by the registration form. The registration form will be available before the end of 2006. \r\n\r\n\r\n\r\n\r\n\r\n\r\nMain partners (up to date)\r\n\r\n· UNESCO\r\n· Argentine Olympic committee\r\n· International Olympic committee\r\n· WHO\r\n· Argentine national government\r\n· Argentine national sports secretary\r\n· Argentine national tourism secretary\r\n· Argentine national health ministry\r\n· Argentine national education ministry\r\n· Buenos Aires education ministry\r\n· Sponsors\r\n\r\nOrganizing committee\r\n\r\n· Prof. Rodolfo N. Valgoni (Tafisa board member)\r\n· Prof. Edgardo Zavatarelli (sport for all specialist)\r\n· Lic. Nicolás Valgoni (Business college degree, marketing and communication responsible)\r\n\r\n\r\nPreliminary Program\r\n\r\nTuesday September 25th 2007\r\n\r\n· Arrivals and registration\r\n\r\nWednesday September 26th 2007\r\n\r\n· Opening ceremony, sessions, board meeting, gala dinner\r\n· Contest winners first presentation (information on second newsletter ""An idea to adopt"")\r\n\r\nThursday September 27th 2007\r\n\r\n· Panel debates\r\n· Contest winners second presentation (information on second newsletter ""An idea to adopt"")\r\n· Continental meetings\r\n\r\nFriday September 28th 2007\r\n\r\n· Sightseeing \r\n· Activities\r\n\r\nSaturday September 29th 2007\r\n\r\n· Sessions\r\n· Contest winners third presentation (information on second newsletter ""An idea to adopt"")\r\n· Continental meetings\r\n· Afternoon off, tourism\r\n· Gala dinner, farewell activities\r\n\r\nSunday September 30th 2007\r\n\r\n· TAFISA general assembly\r\n· Closing ceremony\r\n· Departure of delegates\r\n· Tourism (optional)",1,1354203177.jpg,2010-06-30,3,9
100,53038,First TAFISA CLC in India,"<p>Hosted by Shree Hanuman Vyayam Prasarak Mandal (HVPM - Premier Institute of Physical Education & Sports) the first TAFISA Certified Leadership Course took place in Amravati, India, October 2- 6, 2012.  With 30 students participating from all over India, the CLC can be considered a milestone in the history of TAFISA as it also opened a door for future joint activities in India.</p><p>\r\nThe CLC was on the initiative of Dr. S.H. Deshpande and his team who professionally organized the event and made it an unforgettable experience for the participants. The program included lectures, group work and discussion tables and concluded with an oral examination and certificate. The event was not all work and no play, as there was also some time for sightseeing and social programs. TAFISA was represented by Dato Sarjit Singh (Malaysia), A.K. Saha (India) and Wolfgang Baumann (Germany).</p><p>\r\nAs the result of the successful CLC, it is expected that there will presumably be three more CLCs in India next year. Moreover, the Amravati Institute, again under the leadership of Dr. Deshpande, will be the venue of the Global Conference on Traditional Physical Cultures, Sports and Games taking place in January 15 – 17, 2013. The event is under the patronage of ICSSPE and TAFISA.</p>",1,1355146858.jpg,2012-10-15,4,9
101,22622,TAFISA’s New Commissioner Comes On-Board,"<p>At its recent meeting on November 15 in Tokyo, Japan, the TAFISA Board has decided to appoint a Commissioner for Martial Arts to serve the martial arts community better, and TAFISA is happy to announce the appointment of Mr. Kenneth Marchtaler as the newly created position of Commissioner for Martial Arts.</p>\r\n<p>Ken has been involved with TAFISA since 2007, and has contributed openly to a number of TAFISA initiatives.  Through his appointment as Commissioner, Ken hopes to establish a new division of TAFISA that will unite and serve the greater martial arts community which is rapidly growing around the world. </p>\r\n<p>Ken was born in Vancouver, Canada. He has studied and taught martial arts for more than 20 years. He holds a 4th Degree Black Belt in Okinawa Shorin-Ryu Shorinkan Karate and is ranked in a number of other martial arts as well. On his trophy shelf are two Gold Medals he won at the 2005 World Martial Games in Rosenheim, Germany, and a number of lifetime achievement awards. </p><p>\r\nKen has served as officer/director on a number of non-profit boards, including Chairman of the World Martial Arts Games Committee (WMAGC) and President of the Canadian National Martial Arts Association (CNMAA). He is a regular guest speaker and has made several appearances on radio, international news and television including recent appearances on the ABC, NBC, CBS and FOX networks. \r\nWelcome Ken!</p>",1,1355147021.jpg,2012-12-07,4,9
102,50056,TAFISA-SSF World Forum in Tokyo,"<p>Under the title “Sport for Youth Future” and hosted by Sasakawa Sports Foundation (SSF) the fifth TAFISA World Forum took place in Tokyo on 17th November. Participants came from Japan and neighboring countries to listen to the expert speakers from twelve countries. After the welcome speeches delivered by Mrs. Kiyoko Ono, President of SSF, and Dr. Kang-Too Lee, TAFISA President, the Forum commenced with keynote speeches, national case studies and a panel discussion.  This also included a report by Mr. Tomonori Nishii, Ministry of Education, Culture, Sports, Science and Technology, on the new National Youth Master Plan in Sport. The Forum concluded with the launch of the “Tokyo Appeal” for the support of sport for all and physical activity amongst youth. The Forum was excellently prepared by TAFISA board member Prof. Yasuo Yamaguchi from Kobe University.</p><p>\r\nThe Forum was preceded by a TAFISA board meeting also taking place in Tokyo on invitation by TAFISA Japan consisting of Japan Sports Association, Sasakawa Sports Foundation, Japan Health Promotion & Fitness Foundation and National Recreation Association of Japan.</p>",1,1355147082.jpg,2012-11-22,4,9
103,22047,2012 Macau Public Entities Sport Festival,"Since 2003, the Macau Sport Development Board has been organizing the “Public Entities Sport Festival” with the Public Administration and Civil Service Bureau. It is an event designed to allow public entities staff to develop a habit to exercise, improve personal life quality, and at the same time to nurture team spirit and enhance friendship among colleagues of different departments. And through this experience, they are expected to provide better services to local citizens as well as to build a harmonious, healthy and energetic society. The event includes sports competitions and recreational games which are greatly welcomed by public entities staff, attracting some 900 people in 2003 and increasing to 2,900 this year from 56 entities; achieving a steady growth in the number of participants every year.<br />\r\n<br />\r\nThe “2012 Public Entities Sport Festival” was held during the months of May to July with activities including Men's Football 7-a-side, basketball, table tennis, badminton, squash, tennis, bowling, swimming, track and field event, and dragon boat (250m) race, forming a total of 10 sports events and 3 recreational games.<br />\r\n<br />\r\nThis year, the event kicked off in May and after two months of intense competition, the winners of all events were announced. On July 8th, recreational games of football, basketball, and group competition and the award presentation ceremony were successfully carried out at the indoor stadium of the Macau Olympic Sports Center, drawing a satisfactory close of the entire event. The Judiciary Police was presented the “Energy Award” of this year.",1,1355147416.jpg,2012-08-15,4,9
104,28012,Sixth Schools Olympic Program in Qatar kicks off,"<p>In a ceremonial scene, the competitions of the sixth Schools Olympic Program (SOP) 2012-2013 under the theme (Sport and investment) was kicked off at the Qatar Sports Club on 09 October, 2012.</p><p>\r\nThe SOP opening ceremony was attended by HE Sheikh Saoud bin Abdulrahman Al Thani, the Secretary General of Qatar Olympic Committee (QOC), HE Mr. Rabea Al-Kaabi, Undersecretary of the Ministry of Education and Higher Education, Hamad Al-Abdan, Operation Manager of Enterprise Qatar, and Dr. Ali Al-Qarni, Director of Arab Education Office for GCC Countries.</p><p>\r\nThe ceremony began with the recitation of the verses of Holy Quran by the student Ahmad Badea Mahmoud, then new logo of the SOP was officially launched where the student Haya Ayman gave a presentation about the new logo.  </p><p>\r\nAfter the opening ceremony, some exhibition matches of Basketball, Football, Athletics, Athletics for People with Special Needs, Table Tennis and Table Tennis for People with Special Needs were held at Abdullah bin Suhaim indoor hall. The new logo takes its inspiration from the world-renowned symbol of the Olympics, with its five interlocking rings coloured blue, yellow, black, green, and red on a white field.</p><p>\r\nThe new SOP logo reinforces the values of the Olympic movement, where the rings are a universal symbol of continuity and humanity.</p><p>\r\nMr. Mohammad Eisa Al-Fadalah, Executive Director of the SOP addressed the gathering  and stressed that SOP is an attempt to encourage school students to practice sport as an integral part of their daily life.</p><p>\r\nThe SOP has celebrated five years of success with an increase of participation by 400% since its inception in 2007-2008.  The program began with 7000 male and female students and has so far reached 20,000 students from 370 schools in nine sporting disciplines.The SOP is striving to achieve the ambitions of the Qatar National Vision 2030 and the National Development Strategy (NDS) to increase sports participation and promote an active healthy lifestyle in Qatar.</p>",1,1358260766.jpg,2012-10-11,4,9
105,21287,The 31st ASFAA Board Meeting and the 2nd ASFAA Sport for All Training Course,"The 31st ASFAA Board Meeting and the 2nd ASFAA Sport for All Training Course were held in Macao on June 2nd and 3rd, 2012.<br />\r\nThe 31st ASFAA Board Meeting was convened at the Macau East Asian Games Dome on June 2nd, in which progress report of the 2012 ASFAA Congress and future development of ASFAA were discussed. Attending board of directors included members from China, India, Iran, Israel, Japan, Korea, Malaysia, Chinese Taipei and Macau, China.<br />\r\nMacau Sport Development Board has been authorized by ASFAA to host the ""2nd ASFAA Sport for All Training Course"" at the ASFAA Training Center (located at the Sports Training Centre of Macau Sport Development Board) on June 2nd 2012, with the theme designated as “Exercise Scientifically, Keep Fit and Health for All”. Experts and scholars from China, Japan, Hong Kong, and Portugal were invited to provide participants with insights on the latest developments in the field of Sport for All and the course attracted participants from China, India, Iran, Malaysia, Korea, Chinese Taipei and Macau.  After the course concluded, participants were also invited to attend the conference speech of the Conference for the 3rd China’s National Physical Fitness Surveillance & International Seminar of Physical Fitness Research in Macau whichwas held at the Macau East Asian Games Dome on June 3rd, so as to enrich the participants’ knowledge in the field of sports.<br />\r\nAfter the two-day courses, participants were able to gain knowledge about the current situation and future development of Sport for All in Asia and Europe. Mr. Feng Jianzhong (President of ASFAA), Mr. Vong Iao Lek (President of the Macau Sport Development Board and ASFAA board of director), Mr. José Tavares and Mr. Pun Weng Kun (Vice Presidents of the Macau Sport Development Board), the ASFAA Board of Directors and members of the Macau Sports Committee were invited to attend the certificate presentation ceremony and the gala dinner on June 3rd.",1,1358261129.jpg,2012-07-31,4,9
106,20784,National Sports Festival Meeting of Brunei,"The Youth and Sports Department of the Ministry of Culture, Youth and Sports, through the sports section held a meeting for the upcoming 10th National Sports Festival 2012 at the Main Conference Room of the Hassanal Bolkiah National Stadium on April 3.<br />\r\n <br />\r\nThe sports festival is organised by the Youth and Sports Department of the Ministry of Culture, Youth and Sports, in collaboration with various national sports associations.<br />\r\n <br />\r\nThe meeting was chaired by Dayang Mariam binti Ulat, the Acting Deputy Director of Youth and Sports I. Also in attendance were senior officers and representatives of several national sports associations.<br />\r\n <br />\r\nThe main purpose of the meeting was to discuss the sports which will be contested during the festival with the respective national sports associations of the proposed sports.<br />\r\n <br />\r\nThe National Sports Festival is a long-term developmental project, initiated by the Department of Youth and Sports, which is aimed at enhancing the cooperation and understanding between government agencies, national sports associations and private sector, in an effort to improve sports within the country and encourage the general public to actively participate in sporting activities.<br />\r\n <br />\r\nFurthermore, it looks to uncover new hidden talents amongst the youth, who have the potential to represent the country at regional and international level in the future, to meet the participation standards in sports competition that have been proposed by the respective national sports associations.<br />\r\n <br />\r\nThe 10th National Sports Festival will consist of 28 different sports, which include aquatic sports, athletics, field bowls, karate, pencak silat, sepak takraw, taekwondo, wushu, badminton, netball, football, futsal, top spinning, sailing, tug-of-war, kempo, tenpin bowling, cycling, fencing, cue sports, golf, basketball, hockey, table tennis, tennis, petanque, chess and softball, however, with participation subject to the respective contingents.<br />\r\n <br />\r\nThe contingents expected to join will consist of all four districts, as well as the Royal Brunei Armed Forces, Royal Brunei Police Force, Brunei Darussalam School Sports Council, higher education institutions (UBD, ITB, UNISSA, IGS, Laksamana, Cosmopolitan and KUPUSB), Brunei Shell Sdn Bhd, Royal Brunei Airlines, Brunei Bank Associations and invited teams, which are yet to he confirmed.",1,<blank>,2012-04-10,4,9
107,20580,Preparations in full swing for Singapore National Games,"SINGAPORE: Sports is moving into the heartlands in a big way to help build community ties, when the Singapore National Games kick off in September.<br />\r\n <br />\r\nPreparations are in full swing, with more than 1,000 teams expected to take part in 10 games.<br />\r\n <br />\r\nOn April 7, Speaker of Parliament Michael Palmer and his team of MPs from Pasir Ris-Punggol played a five-a-side game against the women's football team.<br />\r\n <br />\r\n""The girls are very good. They almost put us to shame. Thank you very much to our goalkeeper, Michael Palmer,"" said Deputy Prime Minister Teo Chee Hean.<br />\r\n <br />\r\nThe match ended goal-less, but organisers hope to score in community bonding.<br />\r\n <br />\r\n""It is something we internalise and build up over a period of time. If we have events like this - community sports games - you get to know a few more people, you get to understand what they are like, you build up a stronger network... Then, over a period of time, people get to know each other better,"" said Mr Teo.<br />\r\n <br />\r\nAnd that's what the Singapore National Games, organised by the People's Association and Singapore Sports Council, aims to achieve.<br />\r\n <br />\r\nTeams of residents from public and private estates, and from various races and ages, will be taking part.<br />\r\n <br />\r\n""Initially, many people thought it would be quite difficult to pool teams together. But it is indeed wonderful to see residents start calling their friends and neighbours to form (teams),"" said Mr Yam Ah Mee, chief executive director of the People's Association.<br />\r\n <br />\r\nMr Yam will be playing basketball for the Seniors game in the Games, which will be held in the first week of September.",1,<blank>,2012-04-10,4,9
